Country Name,Population Data,MVA Per Capita Data,CPI Ranking,URL
United States of America,338.29M,7112.28,5,https://stat.unido.org/
Afghanistan,41.13M,24.98,148,https://stat.unido.org/country-profile/economics/AFG
Bahamas,409984,133.69,133,https://stat.unido.org/country-profile/economics/BHS
Cabo Verde,593149,243.49,141,https://stat.unido.org/country-profile/economics/CPV
Denmark,5.88M,8649.9,18,https://stat.unido.org/country-profile/economics/DNK
Egypt,110.99M,568.02,68,https://stat.unido.org/country-profile/economics/EGY
Finland,5.54M,7064.57,24,https://stat.unido.org/country-profile/economics/FIN
Germany,83.37M,8669.1,1,https://stat.unido.org/country-profile/economics/DEU
Hungary,9.97M,2962.76,26,https://stat.unido.org/country-profile/economics/HUN
Ireland,5.02M,41783.25,3,https://stat.unido.org/country-profile/economics/IRL
Japan,123.95M,7283.3,8,https://stat.unido.org/country-profile/economics/JPN
Kenya,54.03M,156.12,108,https://stat.unido.org/country-profile/economics/KEN
Lebanon,5.49M,241.11,105,https://stat.unido.org/country-profile/economics/LBN
Madagascar,29.61M,37.3,137,https://stat.unido.org/country-profile/economics/MDG
New Zealand,5.19M,4350.87,46,https://stat.unido.org/country-profile/economics/NZL
Oman,4.58M,1692.44,56,https://stat.unido.org/country-profile/economics/OMN
Poland,39.86M,2606.61,23,https://stat.unido.org/country-profile/economics/POL
Qatar,2.7M,5649.76,50,https://stat.unido.org/country-profile/economics/QAT
Russian Federation,144.71M,1361.4,34,https://stat.unido.org/country-profile/economics/RUS
Sweden,10.55M,7291.84,17,https://stat.unido.org/country-profile/economics/SWE
